epoch,train_loss,train_cost,val_cost,learning_rate,temperature,baseline_type,baseline_value
89,4.7322993464682385e-05,0.8314495173527107,,5.4043827129102075e-06,0.8,rollout,
90,2.56072832251301e-05,0.830069606870535,,4.646289536011065e-06,0.8,rollout,
91,-4.903561110047861e-07,0.8299993689629152,,3.958120417067753e-06,0.8,rollout,
92,6.854401740123232e-06,0.8256977320330676,0.806621777047739,3.340554495916996e-06,0.8,rollout,
93,-1.422706951981212e-06,0.8223838405524112,,2.7942012355633267e-06,0.8,rollout,
94,-6.559310740783531e-07,0.8267384558251861,,2.3195998207126922e-06,0.8,rollout,
95,5.5090347643727e-07,0.8256959394141591,,1.9172186256622457e-06,0.8,rollout,
96,-1.2528558090470672e-05,0.8298219488073862,0.8301786751717067,1.5874547520714072e-06,0.8,rollout,0.61142897605896
97,1.1142782216329769e-06,0.8282674018627579,,1.3306336370705406e-06,0.8,rollout,
98,4.0793442697880286e-12,0.8273522762286473,,1.147008732093769e-06,0.8,rollout,
99,-2.527050340717096e-06,0.8253740815415325,,1.0367612527529958e-06,0.8,rollout,
100,1.2050057248321385e-08,0.8231573270839009,0.8209814258933412,1e-06,0.8,rollout,
