epoch,train_loss,train_cost_geometric,val_cost_geometric,learning_rate,temperature,baseline_type,baseline_value,mean_type
28,-0.045092430263757706,0.5201152351526617,0.5169023166853127,5.567415893174883e-05,0.49447767370863904,rollout,0.5308659672737122,geometric
29,-0.05558820055176814,0.5196102023912109,,5.3090629834025695e-05,0.583483654976194,rollout,0.5308165550231934,geometric
30,-0.03113846505060792,0.5179002282023096,0.5265392486564534,5.0499999999999994e-05,0.583483654976194,rollout,0.5291282534599304,geometric
31,-0.04429317462568482,0.5180616241069879,,4.7909370165974273e-05,0.47845659708047916,rollout,0.5291163921356201,geometric
32,-0.02719872670248151,0.519158180938604,0.5170007146669383,4.532584106825115e-05,0.47845659708047916,rollout,0.5293190479278564,geometric
33,-0.02488808004806439,0.518136975320266,,4.275649398050856e-05,0.3923344096059929,rollout,0.5293465852737427,geometric
34,-0.023857963010668753,0.5179788356214646,0.5180909106086343,4.02083713045209e-05,0.3923344096059929,rollout,0.5297043323516846,geometric
35,-0.020039224832629165,0.518577179726488,,3.768845726742522e-05,0.32171421587691423,rollout,0.5295722484588623,geometric
36,-0.022575443051755427,0.5184862469788994,0.5223634291730656,3.52036587784401e-05,0.32171421587691423,rollout,0.5294581651687622,geometric
37,-0.016286148400977255,0.5158548545284989,,3.276078649750763e-05,0.2638056570190697,rollout,0.5288141369819641,geometric
38,-0.017551492201164365,0.5171555191374005,0.5187365853940155,3.0366536167747892e-05,0.2638056570190697,rollout,0.5286587476730347,geometric
39,-0.011895668425907691,0.5168213790423762,,2.802747026289243e-05,0.21632063875563717,rollout,0.5282390117645264,geometric
40,-0.01896442428852121,0.5154514504645783,0.5087614528297654,2.5750000000000006e-05,0.21632063875563717,rollout,0.5283730030059814,geometric
41,-0.00993047215975821,0.5166370665661818,,2.354036776675617e-05,0.1773829237796225,rollout,0.5280748009681702,geometric
42,-0.017957973638549448,0.516492392762776,0.5188941771668742,2.1404630011522583e-05,0.1773829237796225,rollout,0.5276145935058594,geometric
43,-0.01229508250641326,0.5168869171065243,,1.9348640643033054e-05,0.15,rollout,0.5272480249404907,geometric
44,-0.0071360508647436895,0.5163655432374694,0.5219066417782254,1.7378034985236535e-05,0.15,rollout,0.5274631381034851,geometric
45,-0.012661952149743834,0.5156128071479176,,1.54982143312659e-05,0.15,rollout,0.5277298092842102,geometric
46,-0.009504918583358328,0.5157098706347861,0.5199942589071439,1.3714331138868995e-05,0.15,rollout,0.5277862548828125,geometric
47,-0.010621922821737826,0.5161747103727505,,1.203127490787994e-05,0.177,rollout,0.5278709530830383,geometric
48,-0.001985260476358235,0.514469934447378,0.5179346578185907,1.0453658778440105e-05,0.177,rollout,0.5279462337493896,geometric
49,0.003756658754621943,0.5150853107193613,,8.985806886701514e-06,0.20886,rollout,0.5281955003738403,geometric
50,-0.00426002805121243,0.5138388865562085,0.5221653230605966,7.631742512670283e-06,0.20886,rollout,0.5288899540901184,geometric
